,year,state,measure,value
0,2005,Alabama,LaborPart,61.7
1,2006,Alabama,LaborPart,61.5
2,2007,Alabama,LaborPart,61.1
3,2008,Alabama,LaborPart,60.6
4,2009,Alabama,LaborPart,59.7
5,2010,Alabama,LaborPart,59.5
6,2011,Alabama,LaborPart,59.1
7,2012,Alabama,LaborPart,58.1
8,2013,Alabama,LaborPart,57.7
9,2014,Alabama,LaborPart,57.1
10,2015,Alabama,LaborPart,56.8
11,2005,Alaska,LaborPart,71.7
12,2006,Alaska,LaborPart,71.4
13,2007,Alaska,LaborPart,70.7
14,2008,Alaska,LaborPart,71.0
15,2009,Alaska,LaborPart,70.3
16,2010,Alaska,LaborPart,69.8
17,2011,Alaska,LaborPart,69.3
18,2012,Alaska,LaborPart,68.4
19,2013,Alaska,LaborPart,67.9
20,2014,Alaska,LaborPart,67.7
21,2015,Alaska,LaborPart,67.0
22,2005,Arizona,LaborPart,64.6
23,2006,Arizona,LaborPart,64.6
24,2007,Arizona,LaborPart,63.7
25,2008,Arizona,LaborPart,63.8
26,2009,Arizona,LaborPart,63.2
27,2010,Arizona,LaborPart,63.1
28,2011,Arizona,LaborPart,61.7
29,2012,Arizona,LaborPart,60.5
30,2013,Arizona,LaborPart,59.6
31,2014,Arizona,LaborPart,59.9
32,2015,Arizona,LaborPart,60.0
33,2005,Arkansas,LaborPart,63.7
34,2006,Arkansas,LaborPart,63.7
35,2007,Arkansas,LaborPart,63.2
36,2008,Arkansas,LaborPart,62.9
37,2009,Arkansas,LaborPart,61.7
38,2010,Arkansas,LaborPart,60.6
39,2011,Arkansas,LaborPart,60.5
40,2012,Arkansas,LaborPart,59.2
41,2013,Arkansas,LaborPart,58.1
42,2014,Arkansas,LaborPart,57.6
43,2015,Arkansas,LaborPart,57.9
44,2005,California,LaborPart,65.5
45,2006,California,LaborPart,65.4
46,2007,California,LaborPart,65.6
47,2008,California,LaborPart,65.8
48,2009,California,LaborPart,65.2
49,2010,California,LaborPart,64.3
50,2011,California,LaborPart,63.6
51,2012,California,LaborPart,63.2
52,2013,California,LaborPart,62.8
53,2014,California,LaborPart,62.4
54,2015,California,LaborPart,62.1
55,2005,Colorado,LaborPart,72.3
56,2006,Colorado,LaborPart,72.4
57,2007,Colorado,LaborPart,72.2
58,2008,Colorado,LaborPart,72.1
59,2009,Colorado,LaborPart,70.9
60,2010,Colorado,LaborPart,70.4
61,2011,Colorado,LaborPart,69.7
62,2012,Colorado,LaborPart,69.0
63,2013,Colorado,LaborPart,68.1
64,2014,Colorado,LaborPart,67.6
65,2015,Colorado,LaborPart,66.8
66,2005,Connecticut,LaborPart,67.1
67,2006,Connecticut,LaborPart,67.9
68,2007,Connecticut,LaborPart,68.5
69,2008,Connecticut,LaborPart,69.0
70,2009,Connecticut,LaborPart,68.8
71,2010,Connecticut,LaborPart,68.3
72,2011,Connecticut,LaborPart,67.7
73,2012,Connecticut,LaborPart,66.3
74,2013,Connecticut,LaborPart,65.2
75,2014,Connecticut,LaborPart,65.8
76,2015,Connecticut,LaborPart,65.8
77,2005,Delaware,LaborPart,67.0
78,2006,Delaware,LaborPart,67.1
79,2007,Delaware,LaborPart,66.4
80,2008,Delaware,LaborPart,65.9
81,2009,Delaware,LaborPart,63.8
82,2010,Delaware,LaborPart,62.0
83,2011,Delaware,LaborPart,62.3
84,2012,Delaware,LaborPart,62.0
85,2013,Delaware,LaborPart,60.9
86,2014,Delaware,LaborPart,61.4
87,2015,Delaware,LaborPart,62.5
88,2005,Florida,LaborPart,62.8
89,2006,Florida,LaborPart,63.5
90,2007,Florida,LaborPart,63.9
91,2008,Florida,LaborPart,63.7
92,2009,Florida,LaborPart,62.3
93,2010,Florida,LaborPart,61.6
94,2011,Florida,LaborPart,61.0
95,2012,Florida,LaborPart,60.7
96,2013,Florida,LaborPart,60.3
97,2014,Florida,LaborPart,60.0
98,2015,Florida,LaborPart,59.0
99,2005,Georgia,LaborPart,68.0
100,2006,Georgia,LaborPart,68.1
101,2007,Georgia,LaborPart,68.1
102,2008,Georgia,LaborPart,67.8
103,2009,Georgia,LaborPart,65.6
104,2010,Georgia,LaborPart,64.1
105,2011,Georgia,LaborPart,64.3
106,2012,Georgia,LaborPart,64.0
107,2013,Georgia,LaborPart,62.9
108,2014,Georgia,LaborPart,61.9
109,2015,Georgia,LaborPart,61.5
110,2005,Hawaii,LaborPart,65.9
111,2006,Hawaii,LaborPart,66.4
112,2007,Hawaii,LaborPart,65.9
113,2008,Hawaii,LaborPart,65.6
114,2009,Hawaii,LaborPart,64.3
115,2010,Hawaii,LaborPart,62.8
116,2011,Hawaii,LaborPart,62.5
117,2012,Hawaii,LaborPart,60.7
118,2013,Hawaii,LaborPart,60.7
119,2014,Hawaii,LaborPart,61.6
120,2015,Hawaii,LaborPart,62.0
121,2005,Idaho,LaborPart,69.3
122,2006,Idaho,LaborPart,68.8
123,2007,Idaho,LaborPart,67.8
124,2008,Idaho,LaborPart,66.6
125,2009,Idaho,LaborPart,65.8
126,2010,Idaho,LaborPart,65.3
127,2011,Idaho,LaborPart,64.9
128,2012,Idaho,LaborPart,64.5
129,2013,Idaho,LaborPart,63.8
130,2014,Idaho,LaborPart,63.6
131,2015,Idaho,LaborPart,63.9
132,2005,Illinois,LaborPart,66.6
133,2006,Illinois,LaborPart,67.5
134,2007,Illinois,LaborPart,68.4
135,2008,Illinois,LaborPart,67.8
136,2009,Illinois,LaborPart,67.0
137,2010,Illinois,LaborPart,66.9
138,2011,Illinois,LaborPart,66.2
139,2012,Illinois,LaborPart,65.9
140,2013,Illinois,LaborPart,65.3
141,2014,Illinois,LaborPart,64.8
142,2015,Illinois,LaborPart,64.7
143,2005,Indiana,LaborPart,67.4
144,2006,Indiana,LaborPart,67.5
145,2007,Indiana,LaborPart,66.3
146,2008,Indiana,LaborPart,66.3
147,2009,Indiana,LaborPart,65.1
148,2010,Indiana,LaborPart,64.0
149,2011,Indiana,LaborPart,63.6
150,2012,Indiana,LaborPart,63.0
151,2013,Indiana,LaborPart,63.0
152,2014,Indiana,LaborPart,63.3
153,2015,Indiana,LaborPart,63.9
154,2005,Iowa,LaborPart,71.6
155,2006,Iowa,LaborPart,72.3
156,2007,Iowa,LaborPart,72.0
157,2008,Iowa,LaborPart,72.4
158,2009,Iowa,LaborPart,72.3
159,2010,Iowa,LaborPart,71.2
160,2011,Iowa,LaborPart,70.0
161,2012,Iowa,LaborPart,69.2
162,2013,Iowa,LaborPart,69.6
163,2014,Iowa,LaborPart,70.3
164,2015,Iowa,LaborPart,70.0
165,2005,Kansas,LaborPart,70.9
166,2006,Kansas,LaborPart,70.5
167,2007,Kansas,LaborPart,70.8
168,2008,Kansas,LaborPart,71.0
169,2009,Kansas,LaborPart,71.3
170,2010,Kansas,LaborPart,69.8
171,2011,Kansas,LaborPart,69.0
172,2012,Kansas,LaborPart,68.3
173,2013,Kansas,LaborPart,68.1
174,2014,Kansas,LaborPart,68.0
175,2015,Kansas,LaborPart,67.6
176,2005,Kentucky,LaborPart,62.4
177,2006,Kentucky,LaborPart,62.5
178,2007,Kentucky,LaborPart,62.1
179,2008,Kentucky,LaborPart,61.4
180,2009,Kentucky,LaborPart,61.9
181,2010,Kentucky,LaborPart,61.3
